0 0.438956022263 15996.9985449 0.1 290.670228916 0.00283082937992 764.233482999 15976.0890222 0
1 1.79052805901 16868.5681354 0.1 305.600308001 3.06574918026 675.377747245 16852.2715054 0
2 2.30594491959 17835.6193121 0.1 322.400383084 6.42298159317 618.026626687 17821.991361 0
3 2.84968709946 18900.4165614 0.1 341.189479109 10.095412079 615.792498669 18887.2982084 0
4 3.36142492294 20063.5135677 0.1 362.07447093 14.1037942474 684.100405254 20048.573178 0
5 3.87990498543 21323.3966685 0.1 385.144972926 18.4677275603 818.846477386 21304.1793604 0
6 4.39602804184 22676.1521349 0.1 410.46782194 23.2050529494 1005.1269057 22650.1340668 0
7 4.88477492332 24115.1942763 0.1 438.081504554 28.3312057814 1229.30359177 24079.8398998 0
8 5.40388298035 25631.0822123 0.1 467.990757176 33.8585446192 1481.93813295 25583.9026146 0
9 5.97737598419 27211.4602168 0.1 500.161790463 39.7957087974 1756.55267746 27150.0707975 0
10 6.5293738842 28841.1514199 0.1 534.518557305 46.1470353871 2048.21383785 28763.3272704 0
11 7.08819293976 30502.4143002 0.1 570.940314429 52.9120645227 2352.66786207 30406.1418063 0
12 7.63031888008 32175.3765906 0.1 609.261015033 60.0851826668 2665.89491447 32058.8997603 0
13 8.17361092567 33838.6248242 0.1 649.270561152 67.6554230492 2983.90862677 33700.4850081 0
14 8.72379899025 35469.926245 0.1 690.718147551 75.6064645791 3302.69688089 35308.9939426 0
15 9.26605987549 37047.0366313 0.1 733.317596428 83.9168201629 3618.24418239 36862.5343061 0
16 9.8079419136 38548.5341696 0.1 776.754329456 92.5602150847 3926.60063486 38340.0492879 0
17 10.3442049026 39954.6262159 0.1 820.693833277 101.506150377 4223.97594117 39722.1140101 0
18 10.856347084 41247.8624809 0.1 864.790873127 110.720589335 4506.84030932 40991.6385056 0
19 11.4267148972 42413.7119006 0.1 908.699077518 120.166766964 4772.02126573 42134.4348029 0
20 11.9742119312 43440.9645297 0.1 952.080302388 129.806057507 5016.78611438 43139.6099871 0
21 12.5563769341 44321.9444309 0.1 994.613192986 139.598834302 5238.90377767 43999.7716142 0
22 13.0473470688 45052.5319133 0.1 1036.00060848 149.505320653 5436.68256113 44711.0441102 0
23 13.6001219749 45632.0144028 0.1 1075.9756009 159.486361804 5608.98286216 45272.9156374 0
24 14.1308119297 46062.7952685 0.1 1114.30576452 169.504113911 5755.20614108 45687.944813 0
25 14.6537959576 46349.9953197 0.1 1150.79591394 179.522599002 5875.26326818 45961.361904 0
26 15.1759719849 46500.9886913 0.1 1185.2892021 189.508171166 5969.52661973 46100.6060412 0
27 15.7504498959 46524.9090097 0.1 1217.66681635 199.429826629 6038.770131 46114.8341527 0
28 16.2756490707 46432.1590611 0.1 1247.84650347 209.259427715 6084.10308027 46014.4344133 0
29 16.79708004 46233.9492726 0.1 1275.78011938 218.971798979 6106.90107197 45810.5693162 0
30 17.3248069286 45941.884433 0.1 1301.45056724 228.544757176 6108.7383485 45514.7674361 0
31 17.8862369061 45567.6104202 0.1 1324.86823103 237.959045905 6091.32435114 45138.5753732 0
32 18.4173500538 45122.5217454 0.1 1346.06720037 247.198226715 6056.44633868 44693.270439 0
33 18.9484350681 44617.5373154 0.1 1365.10153317 256.248532293 6005.91950412 44189.641337 0
34 19.4747519493 44062.9321433 0.1 1382.04157533 265.098669732 5941.54523209 43637.8243396 0
35 19.9955708981 43468.224098 0.1 1396.97044702 273.739623428 5865.07678669 43047.1941096 0
36 20.5450050831 42842.1076119 0.1 1409.98094384 282.164444575 5778.19350898 42426.3008211 0
37 21.0735890865 42192.4229617 0.1 1421.17266096 290.368039074 5682.48106847 41782.8423992 0
38 21.6175320148 41526.1579182 0.1 1430.64952702 298.346974856 5579.4183108 41123.668535 0
39 22.1520709991 40849.4704417 0.1 1438.51770249 306.099266599 5470.36941298 40454.8052017 0
40 22.6804039478 40167.7284152 0.1 1444.88373917 313.624203786 5356.5799001 39781.4958071 0
41 23.1937270164 39485.5609298 0.1 1449.85317611 320.922176759 5239.17648804 39108.2534306 0
42 23.6772129536 38806.9153168 0.1 1453.52932977 327.994524142 5119.16958701 38438.9184451 0
43 24.2249410152 38135.118899 0.1 1456.0123887 334.84338564 4997.45765008 37776.720587 0
44 24.731746912 37472.9395347 0.1 1457.39871573 341.471584839 4874.83296549 37124.3395506 0
45 25.2613880634 36822.6466681 0.1 1457.78035145 347.882510392 4751.98859535 36483.9658787 0
46 25.8040239811 36186.0681566 0.1 1457.24466176 354.080019575 4629.52550791 35857.3575092 0
47 26.3549580574 35564.6446585 0.1 1455.87414725 360.068344077 4507.96038028 35245.8937204 0
48 26.9159169197 34959.4797269 0.1 1453.74637028 365.852019168 4387.73304054 34650.6247466 0
49 27.444519043 34371.3847427 0.1 1450.93393327 371.435815742 4269.21399631 34072.31614 0
50 27.9664299488 33800.9203292 0.1 1447.50453507 376.824687347 4152.71131967 33511.4896352 0
51 28.5158059597 33248.4339817 0.1 1443.52114329 382.023706785 4038.47765712 32968.4601558 0
52 29.0338089466 32714.0914683 0.1 1439.04209504 387.038037501 3926.71623242 32443.3666507 0
53 29.5758759975 32197.9070726 0.1 1434.12134026 391.872891116 3817.58680301 31936.201754 0
54 30.1227920055 31699.7685229 0.1 1428.80863115 396.533494464 3711.21095501 31446.8361642 0
55 30.6639339924 31219.4589258 0.1 1423.14976337 401.02506294 3607.67696832 30975.0400511 0
56 31.2116498947 30756.6769135 0.1 1417.18677719 405.352781392 3507.04408322 30520.502737 0
